Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge
Male,48,No,0,0,51,,Yes,36.59,No,Yes,DSL,20.0,No,No,No,Yes,No,No,No,Yes,One Year,No,Credit Card,47.85
Female,55,No,0,0,21,Offer D,Yes,30.88,No,Yes,DSL,15.0,Yes,No,Yes,No,No,Yes,Yes,Yes,One Year,No,Mailed Check,64.85
Male,61,Yes,0,2,63,,Yes,48.95,Yes,Yes,Fiber Optic,13.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.4
Female,40,Yes,1,8,14,Offer D,Yes,15.33,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,19.7
Female,48,No,0,0,3,,Yes,12.5,No,Yes,Fiber Optic,4.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.75
Female,39,Yes,2,3,6,,Yes,49.45,No,Yes,DSL,10.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,48.8
Male,19,No,2,0,19,Offer D,No,0.0,No,Yes,DSL,59.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,25.35
Male,72,No,0,0,54,,No,0.0,No,Yes,DSL,26.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,55.45
Male,67,No,0,0,51,,Yes,3.11,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.0
Male,61,Yes,0,6,43,,Yes,15.2,No,Yes,Fiber Optic,21.0,Yes,No,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,84.25
Male,34,Yes,0,2,3,Offer E,Yes,4.19,No,Yes,Cable,6.0,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,55.8
Female,27,Yes,2,2,40,Offer B,Yes,33.44,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.8
Female,21,Yes,0,1,70,Offer A,Yes,16.78,Yes,Yes,Fiber Optic,48.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.2
Female,36,No,0,0,13,Offer D,Yes,28.45,No,Yes,DSL,30.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,67.8
Male,55,No,0,0,1,,Yes,11.58,Yes,Yes,Fiber Optic,15.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.45
Female,42,Yes,0,1,30,,Yes,15.36,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65
Female,42,No,0,0,13,Offer D,Yes,46.3,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.45
Male,21,No,0,0,62,,No,0.0,No,Yes,DSL,51.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,43.7
Female,53,Yes,3,8,52,Offer B,Yes,8.16,Yes,Yes,Fiber Optic,20.0,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,95.7
Male,67,Yes,0,0,54,,Yes,38.48,Yes,Yes,Fiber Optic,13.0,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Credit Card,99.05
Male,65,No,0,0,26,Offer C,Yes,29.88,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.3
Female,27,No,0,0,62,,Yes,23.88,Yes,Yes,Fiber Optic,47.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,92.05
Female,72,Yes,0,10,31,Offer C,No,0.0,No,Yes,DSL,21.0,Yes,Yes,Yes,No,No,Yes,No,Yes,One Year,Yes,Credit Card,50.4
